training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
3,50,0.6444,0.0355,0,3.0053
4,0,0.4442,0.0380,0,3.0053
4,1,0.5323,0.5730,0,1.9684
4,2,0.5516,0.5730,0,1.9684
4,3,0.5615,0.5730,0,1.9684
4,4,0.5693,0.5730,0,1.9684
4,5,0.5811,0.5730,0,1.9684
4,6,0.5901,0.6470,0,1.6986
4,7,0.5979,0.6470,0,1.6986
4,8,0.5965,0.6470,0,1.6986
4,9,0.6050,0.6470,0,1.6986
4,10,0.5991,0.6470,0,1.6986
4,11,0.6147,0.6575,0,1.6376
4,12,0.6188,0.6575,0,1.6376
4,13,0.6234,0.6575,0,1.6376
4,14,0.6192,0.6575,0,1.6376
4,15,0.6241,0.6575,0,1.6376
4,16,0.6248,0.6700,0,1.5890
4,17,0.6355,0.6700,0,1.5890
4,18,0.6289,0.6700,0,1.5890
4,19,0.6242,0.6700,0,1.5890
4,20,0.6278,0.6700,0,1.5890
4,21,0.6376,0.6750,0,1.5776
4,22,0.6334,0.6750,0,1.5776
4,23,0.6365,0.6750,0,1.5776
4,24,0.6377,0.6750,0,1.5776
4,25,0.6335,0.6750,0,1.5776
4,26,0.6300,0.6775,0,1.5687
4,27,0.6279,0.6775,0,1.5687
4,28,0.6323,0.6775,0,1.5687
4,29,0.6342,0.6775,0,1.5687
4,30,0.6357,0.6775,0,1.5687
4,31,0.6355,0.6760,0,1.5677
4,32,0.6348,0.6760,0,1.5677
4,33,0.6249,0.6760,0,1.5677
4,34,0.6344,0.6760,0,1.5677
4,35,0.6362,0.6760,0,1.5677
